ID_Cliente,Nombre_Empresa,Contacto_Principal,Email,Ciudad,Industria,Fuente_Lead,Fecha_Registro
ec48bf55,Barrera y Bustos y Asociados,Aurelio Preciado Caldera,catalina80@casillas-partida.biz,Vieja Saint Kitts y Nevis,Salud,Linkedin,2024-07-24
81e5c9f6,Grupo Rosario y Garrido,Jerónimo Valadez Nazario,leivarenato@proyectos.org,Vieja Argelia,Salud,Linkedin,2024-04-13
4f199ec0,Montoya-Aguayo S.A.,Raúl Víctor Pacheco,colladotania@bustos.net,Vieja Maldivas,Finanzas,Linkedin,2024-11-11
4fc77768,Vanegas-Ybarra A.C.,Cristal Cotto Arroyo,juradomargarita@ruelas.biz,San Esmeralda los altos,Salud,Linkedin,2024-02-21
4882d73c,Soto y Manzanares A.C.,Leonardo Rufino Baca,floreshermelinda@proyectos.com,San Carla de la Montaña,Consultoria,Linkedin,2024-12-15
2112507c,"Tejada, Godínez y Sanches",Mtro. Angélica Osorio,pulidoaida@bernal.biz,San Timoteo los bajos,Consultoria,Linkedin,2024-07-06
f758dce2,de la Torre-Rincón y Asociados,Augusto Marco Antonio Caraballo Guerrero,zvillalpando@ortiz-marin.com,Vieja Croacia,Consultoria,Linkedin,2024-01-23
87d5b7be,Proyectos Montes y Montoya,Eugenio Benjamín Concepción,elvia29@proyectos.info,San Ramón los altos,Tecnologias,Linkedin,2024-11-07
9082889b,Mata-Corona S.C.,Mariano Quintanilla Madrigal,rosa05@marin-riojas.info,Nueva Kiribati,Retail,Referido,2025-08-31
dd3f7d7e,Villegas-Sarabia,María Teresa Vera,rasconreina@corporacin.net,Nueva Mónaco,Salud,Website,2024-02-13
57eb89b1,Santana-de León,Fernando Quezada Quiñones,josenieves@club.com,San Andrés los bajos,Tecnologias,Evento,2024-02-06
48bddb3e,"Laboratorios Zavala, Cornejo y Merino",Rodolfo Cisneros Montez,vanesa62@marin-valdivia.biz,San Carolina los altos,Finanzas,Referido,2025-05-23
ff4625af,Piña-Sauceda,Aida Jos Mares Dueñas,jacintoruelas@grupo.com,San Benito los altos,Manofactura,Linkedin,2025-07-15
e238fe93,Miramontes y Asociados,Dr. Rubén Ocampo,daliaduran@laboratorios.biz,San Zoé los altos,Consultoria,Linkedin,2024-05-27
48f1096d,González y Tejeda S.A.,Mariano Eloisa Nazario Vásquez,xriojas@proyectos.biz,Nueva Samoa,Finanzas,Evento,2024-03-11
a4244f23,Nieto y Urrutia A.C.,Sr(a). Gloria Botello,georginarascon@proyectos.com,San Jaqueline de la Montaña,Salud,Website,2024-10-12
5fbbf0b1,Club Bonilla y Noriega,Alicia Indira Camacho,clemente20@proyectos.info,Nueva Angola,Salud,Linkedin,2024-06-10
8c7e6f42,"Carranza, Lomeli y Granados",Carlos Amanda Griego Perea,hbarajas@zambrano.net,Nueva Guyana,Tecnologias,Evento,2024-10-23
3d959e3f,"Escobar, Briones y Soria",Ángel Olivia Tovar Sarabia,orellanamariano@ontiveros.com,Vieja Belarús,Manofactura,Website,2024-08-18
a0d572c8,Verdugo-Mercado,Alvaro Jesús Treviño,trinidad27@echeverria.info,Vieja Emiratos Árabes Unidos,Manofactura,Referido,2023-12-29
0aba590e,Marín-Serrato S.C.,Lic. Flavio Arce,gonzalomunguia@meraz.com,San Marco Antonio los bajos,Salud,Linkedin,2025-06-24
62fb26d7,Escobar-Salgado e Hijos,José Carlos Solano,armando61@zarate.com,San Benjamín de la Montaña,Consultoria,Referido,2024-08-05
7227890e,"de la Crúz, Quiroz y Montoya",Alma Morales,olaureano@benavidez.biz,San Nelly los altos,Consultoria,Referido,2025-05-05
248d31ec,Aragón y Castro A.C.,Verónica Josefina Nájera,cvalverde@laboratorios.com,San Araceli los altos,Tecnologias,Referido,2024-03-10
507b9072,"Grupo Carrera, Alvarez y Escamilla",Norma Ontiveros,iglesiasfrancisca@gallegos.info,Nueva Chad,Tecnologias,Referido,2025-09-17
e60fd420,Brito y Maya e Hijos,Andrés Paulina Torres López,cristina25@despacho.com,San Aldonza los bajos,Salud,Evento,2025-01-28
cdbcc653,Industrias Briseño-Barraza,Leonel Mauro Sotelo Partida,evelasco@corporacin.info,San Carolina los altos,Retail,Linkedin,2025-04-04
f75d1e3c,Club Sandoval-Baca,Norma Corral Maestas,cynthiamedrano@corporacin.com,San Elsa los altos,Retail,Linkedin,2025-01-25
4d85e9c7,Sandoval-de la Garza,Ing. Cristian de la Torre,ramon00@armenta-velazquez.com,Vieja San Vicente y las Granadinas,Retail,Linkedin,2025-04-04
a08dd21b,"Laboratorios Madrid, Rosas y Guevara",Héctor Rendón,balderascristina@pelayo.com,San Samuel de la Montaña,Manofactura,Website,2024-07-24
bbf483ce,Ozuna-Cedillo y Asociados,Noelia Ramiro Caraballo Matos,marthacasillas@club.com,San Juan Carlos los altos,Tecnologias,Linkedin,2024-10-14
e6fdd7af,Proyectos Menchaca-Vélez,Elias Cristobal Samaniego Serrato,tsamaniego@altamirano.net,San Fabiola de la Montaña,Tecnologias,Email Cold,2025-02-20
4806f804,Zambrano y Rodrígez S.A. de C.V.,Sr(a). Bianca Prado,gabinonavarrete@navarrete.com,Vieja República Checa,Consultoria,Email Cold,2024-07-06
734a6ca3,"Proyectos Casanova, Cazares y Calderón",José Luis Mojica,claudio39@sanches.com,Vieja Nauru,Manofactura,Website,2025-01-01
e4a4474c,Corporacin Matos-Curiel,Sergio Luna,natividad88@valladares.com,San Isabel los altos,Consultoria,Referido,2024-02-18
4ec3f970,Zambrano S.C.,Vanesa Ricardo Vélez Gil,vergaramauro@industrias.com,Nueva Ecuador,Retail,Evento,2023-12-09
26c432f6,"Figueroa, Partida y Sánchez",Lic. Anel Chavarría,ramiromelendez@sotelo.com,San Óscar los bajos,Tecnologias,Email Cold,2025-01-22
de1e994a,"Industrias Roybal, Espinosa y Gurule",Porfirio Héctor Garza Luevano,emilio75@montes.com,San Carlos los altos,Consultoria,Referido,2025-05-03
faebcd19,"Montaño, Concepción y López",Graciela Berríos Montemayor,vhidalgo@gallegos.net,San Ramiro los altos,Tecnologias,Website,2024-06-22
bdab07e7,Grupo Arteaga y Tamez,Teodoro Eugenia Ávila,pedrazaisabel@camarillo.net,Vieja Sudán,Manofactura,Linkedin,2025-11-20
